GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tournoiPlace,org.tournoiPlace.model,Game,28,3,0,0,12,1,8,1,8,1
tournoiPlace,org.tournoiPlace.model,Player,28,3,0,0,12,1,8,1,8,1
tournoiPlace,org.tournoiPlace.model,Tournament,54,31,0,0,22,13,16,7,16,7
tournoiPlace,org.tournoiPlace.model,Tournament.Statut,0,27,0,0,0,2,0,1,0,1
tournoiPlace,org.tournoiPlace.model,Team,14,24,0,0,6,10,4,7,4,7
tournoiPlace,org.tournoiPlace.service.impl,TeamServiceImpl,0,35,0,0,0,12,0,7,0,7
tournoiPlace,org.tournoiPlace.service.impl,TournamentServiceImpl,4,40,0,0,2,13,1,8,1,8
tournoiPlace,org.tournoiPlace.service.impl,GameServiceImpl,24,6,0,0,8,3,5,1,5,1
tournoiPlace,org.tournoiPlace.service.impl,PlayerServiceImpl,24,6,0,0,8,3,5,1,5,1
tournoiPlace,org.tournoiPlace.presentation,GameMenu,341,0,19,0,95,0,19,0,7,0
tournoiPlace,org.tournoiPlace.presentation,TeamMenu,641,0,55,0,161,0,40,0,9,0
tournoiPlace,org.tournoiPlace.presentation,PlayerMenu,504,0,36,0,129,0,30,0,9,0
tournoiPlace,org.tournoiPlace.presentation,Main,68,0,8,0,30,0,9,0,3,0
tournoiPlace,org.tournoiPlace.presentation,TournamentMenu,862,0,54,0,212,0,39,0,9,0
tournoiPlace,org.tournoiPlace.provider,ApplicationContextProvider,3,8,0,0,1,3,1,2,1,2
tournoiPlace,org.tournoiPlace.dao.daoImpl,TournamentDaoImpl,203,0,6,0,61,0,15,0,12,0
tournoiPlace,org.tournoiPlace.dao.daoImpl,PlayerDaoImpl,106,7,2,0,38,3,7,2,6,2
tournoiPlace,org.tournoiPlace.dao.daoImpl,GameDaoImpl,106,7,2,0,38,3,7,2,6,2
tournoiPlace,org.tournoiPlace.dao.daoImpl,TournamentDaoExtension,213,50,8,0,56,15,11,5,7,5
tournoiPlace,org.tournoiPlace.dao.daoImpl,TeamDaoImpl,90,50,2,0,33,15,5,5,4,5
